usecase_id,name,category,description,key_challenges,eval_focus,example_companies,relevant_task_ids,why_it_stresses_these_tasks
UC-01,Customer-support agent (chat/deflection),Conversational service agents,"LLM agent that resolves inbound support conversations end-to-end (answers; refunds; lookups) and escalates the rest.","confident wrong/hallucinated policy; prompt injection/jailbreak; pinning a comparable 'resolution' definition; safe escalation; over- vs under-deflection","resolution/deflection rate (pinned definition); groundedness; CSAT parity; escalation precision/recall; over-refusal; cost-per-resolution","Klarna (OpenAI); Intercom Fin; Sierra; Air Canada (failure); Cursor 'Sam' (failure)","T-005;T-006;T-046;T-052;T-062;T-088;AT-08;AT-09;AT-11;AT-12;AT-16;AT-49;AT-55;AT-56;AT-58;AT-60;AT-65;AT-66;AT-67;AT-74;AT-84;EVL-01;EVL-05;EVL-08;EVL-13;EVL-15","Dominant failure is authoritative hallucination + jailbreak; so groundedness monitoring (AT-56); judge+calibration (AT-11/12); guardrails+refusal tuning (AT-65/66); incident-to-regression (AT-67); conversation transition-failure localization (EVL-15); outcome pricing (AT-74) all become load-bearing on top of the eval spine."
UC-02,Voice agent (telephony),Conversational service agents,"Real-time speech agent (STT->LLM->TTS over telephony) handling calls: support; booking; intake; qualification.","sub-800ms end-to-end latency + turn-taking/barge-in; STT errors compounding; dual-control (guide a human through steps); mid-call task failure","end-to-end + per-hop latency (p50/95/99); barge-in time; containment rate; escalation accuracy; task-completion (state match); cost-per-call","Retell; Vapi; Bland; PolyAI; Cresta; Sierra (tau2 Telecom)","T-046;T-060;T-088;T-117;AT-08;AT-11;AT-16;AT-24;AT-25;AT-27;AT-28;AT-55;AT-56;AT-59;AT-65;AT-66;AT-67;EVL-01;EVL-13;EVL-15","Adds a hard real-time constraint to UC-01: latency/SLO tasks (T-117; AT-59) and tool-call accuracy for in-call actions (AT-24/25) plus agent-loop budgets (AT-27/28) become primary, with the same safety+groundedness stack."
UC-03,Coding agent / copilot,Builder & analyst copilots,"Generates; edits; and lands code from natural-language intent (autocomplete; IDE agents; autonomous issue->PR).","benchmark saturation + training-data contamination; scaffold variance (15-20 pts); compounding multi-file edits; perceived vs measured productivity","execution/test-pass on contamination-controlled private sets; acceptance/retention rate; PR-comment reduction; measured cycle-time; cost-per-task","GitHub Copilot; Cursor; Devin (Cognition); SWE-bench/SWE-bench Pro; METR RCT","T-046;T-088;T-116;AT-02;AT-05;AT-08;AT-09;AT-10;AT-25;AT-27;AT-28;AT-29;AT-31;AT-43;AT-44;AT-45;AT-47;AT-49;AT-84;AT-86;EVL-07;EVL-12;EVL-15;O-PLG-001;O-PLG-002;O-PLG-014","Code is execution-checkable so deterministic graders (AT-10/EVL-07) and RL-env/sandbox/verifier tasks (AT-43/44/45) apply; contamination is the defining eval hazard (AT-47); fast frontier means constant capability probes/teardowns (AT-02/05/86); devtools PLG activation overlays attach (O-PLG-001/002/014)."
UC-04,Data-analyst / text-to-SQL / BI agent,Builder & analyst copilots,"Turns NL questions into governed warehouse queries and trustworthy answers over enterprise schemas.","syntactically-valid but semantically-wrong SQL; wrong join grain/row explosion; null/dedup errors; schema > context window; missing business logic","execution accuracy vs golden SQL (result-set match); schema-linking precision; groundedness (numbers trace to a query); %auto-answered vs routed","OpenAI internal data agent; BIRD/Spider 2.0/BEAVER benchmarks; Contextual AI; Uber (internal)","T-046;T-081;T-085;T-088;T-122;T-123;T-124;AT-08;AT-09;AT-10;AT-22;AT-23;AT-24;AT-27;AT-56;AT-58;EVL-06;EVL-07;EVL-11;EVL-15","Golden-SQL execution grading is the defining eval (AT-10/EVL-07); schema retrieval/linking + retrieval-quality eval (AT-22/23); plan->validate->repair loop (AT-27); groundedness (AT-56); inherits the classic data-governance tasks (T-122/123/124/081/085)."
UC-05,RAG / enterprise search assistant,Knowledge & document AI,"Question-answering grounded in a permissioned enterprise corpus; returns cited; permission-aware answers.","retrieval miss -> ungrounded answer; cross-source contradiction hidden behind a citation; permission leakage; stale/duplicate corpus; lost-in-the-middle","recall@k + groundedness measured separately from generation; citation correctness; faithfulness; permission-correctness (zero tolerance); freshness","Glean; (enterprise Copilots/Rovo class)","T-046;T-048;T-085;T-088;T-121;AT-08;AT-11;AT-21;AT-22;AT-23;AT-26;AT-55;AT-56;AT-57;AT-72;EVL-01;EVL-08;EVL-13;O-B2B-002","RAG moves hallucination into retrieval; so retrieval-pipeline design + recall@k/groundedness eval (AT-22/23) and groundedness monitoring (AT-56) dominate; permission-aware retrieval forces entitlements + data-rights (T-048; AT-72); connector/MCP governance (AT-26); corpus contradiction is a data-quality job (T-085/121)."
UC-06,Document extraction & processing (IDP),Knowledge & document AI,"Extracts structured fields from invoices; contracts; forms; IDs; KYC packets with confidence-based human review.","silent field errors at scale; mis-calibrated confidence; missing line-items; layout/vendor drift; OCR on poor scans; weak feedback loop","field-level F1/extraction accuracy; straight-through-processing rate; confidence calibration; exception rate by doc type; correction throughput","DocuPipe; LandingAI; elDoc; (AP/KYC IDP vendors)","T-032;T-046;T-054;T-064;T-088;AT-08;AT-09;AT-10;AT-14;AT-49;AT-55;AT-56;AT-60;EVL-06;EVL-07;O-FIN-001;O-FIN-006;O-FIN-011;O-B2B-002","Output is structured/field-checkable so deterministic schema scorers (AT-10/EVL-07) and slice-by-doc-type evals (AT-14) are central; confidence-routing is a human-in-loop design (AT-60; T-054); bounding-box grounding (AT-56); lands in KYC/compliance overlays (O-FIN-001/006/011)."
UC-07,Sales copilot / AI SDR,GTM & content,"Researches prospects; enriches data; personalizes; and runs outbound/CS motions (workbench; autonomous SDR; integrated platform).","generic 'obviously-AI' personalization; domain-reputation/deliverability damage at scale; stale enrichment; over-automation; compliance (CAN-SPAM/GDPR)","reply/positive-reply rate; meetings booked; bounce rate; inbox-placement/domain-health; personalization quality; pipeline/PQL conversion","Clay; 11x (Alice); Amplemarket; (Smartlead/Instantly senders)","T-005;T-046;T-088;T-099;T-129;AT-08;AT-11;AT-12;AT-16;AT-55;AT-60;AT-65;AT-66;AT-79;EVL-08;O-B2B-003;O-B2B-006;O-PLG-005;O-CON-003;O-CON-010","Quality bar is personalization judge (AT-11/12) but the binding constraint is a deliverability/'don't send junk' guardrail (AT-65/66) analogous to the consumer CTR-floor + opt-out discipline (O-CON-003/010); PQA/PQL scoring (O-B2B-006/O-PLG-005) and deal triage (O-B2B-003) drive targeting."
UC-08,Enterprise content generation,GTM & content,"Drafts brand-consistent marketing/business content at scale; on-brand and (in regulated settings) compliant.","off-brand voice; fabricated facts/claims in published content; generic 'AI slop'; wrong competitor claims; training-on-customer-data concerns","brand-voice adherence (judge+human); factuality/groundedness vs source-of-truth; edit/acceptance rate; compliance pass-rate; throughput","Jasper (marketing-first); Writer (governance-first; Palmyra + Knowledge Graph)","T-009;T-045;T-046;T-057;T-088;AT-08;AT-11;AT-12;AT-16;AT-22;AT-55;AT-56;AT-60;AT-65;AT-66;AT-72;AT-85;EVL-08","Subjective brand-voice quality forces LLM-judge + calibration (AT-11/12) as the core eval; factuality/grounding (AT-56) + Knowledge-Graph RAG (AT-22) prevent fabricated claims; brand-safety guardrails (AT-65/66) and data-rights/consent (AT-72/85) for regulated content."
UC-16,Meeting / conversation intelligence,GTM & content,"Captures calls/meetings to produce transcripts; faithful summaries; action items; and (for sales) revenue-intelligence signals.","unfaithful summary (invented commitments); diarization/attribution errors; missing the key decision; recording-consent/privacy; training on call data","summary faithfulness + coverage (judge+human); action-item precision/recall; transcription WER + diarization; CRM-field accuracy; consent-compliance","Granola; Gong; Fathom; Otter; Fireflies; Chorus/Clari","T-002;T-046;T-088;T-099;T-145;AT-08;AT-11;AT-12;AT-55;AT-56;AT-60;AT-72;AT-85;EVL-08;O-B2B-009","Summarization eval is faithfulness/coverage (AT-11/12; AT-56 groundedness to transcript); recording introduces privacy + consent/disclosure (AT-72/85); maps to classic synthesis tasks (T-002 snapshot; T-145 verbatims; T-099/O-B2B-009 win-loss for the Gong job)."
UC-09,Agentic workflow automation,Orchestration,"Multi-step; tool-using agent that executes a business process via plan-act-observe loops (IT/ops; back-office; 'do the whole task').","compounding/cascading error (0.95^20~36%); tool misuse; policy neglect; unbounded loops/cost; meltdown; irreversible wrong actions","pass^k/consistency (not just pass@1); end-to-end task completion (state match); per-transition success; tool-call accuracy; reliability decay; cost/steps","tau-bench / tau2-bench; GAIA; (enterprise agent platforms)","T-046;T-060;T-067;T-088;AT-07;AT-08;AT-16;AT-24;AT-25;AT-26;AT-27;AT-28;AT-30;AT-32;AT-43;AT-45;AT-51;AT-53;AT-55;AT-58;EVL-01;EVL-15;EVL-16","Reliability (not accuracy) is the binding constraint; so harness/loop + budget design (AT-27/28); tool schema + tool-call accuracy + tool-reliability mining (AT-24/25/07); MCP governance (AT-26); transition-failure matrix (EVL-15); and safe-rollout/rollback for autonomous actions (AT-51/53; EVL-16) are all primary."
UC-10,Recommendation system (generative/ML),Ranking & personalization,"Predicts or (now) generates the next-best item for a user (feed; product; video; music); incl. generative recsys via Semantic IDs.","engagement-bait vs long-term retention; cold-start/long-tail; filter bubbles/feedback loops; online<->offline gap; serving cost/latency at scale","online engagement/retention A/B lifts (arbiter); offline recall/NDCG (proxy); segment effects; guardrails (diversity; retention); serving cost/latency","YouTube (PLUM/Semantic IDs); Meta (HSTU); Kuaishou (OneRec); Netflix; Pinterest","T-013;T-014;T-031;T-037;T-038;T-069;T-078;T-079;T-112;T-137;AT-14;AT-29;AT-46;AT-47;AT-52;AT-55;AT-57;AT-59;AT-70;EVL-13;O-CON-005;O-CON-008;O-CON-013","Abundant ground truth + online-experiment culture means classic experimentation (T-037/038/069/078/079/137) and cohort/retention analysis (T-013/014/112) dominate over LLM-judges; AI tasks are slice/cold-start evals (AT-14); bake-off (AT-29); online A/B of model change (AT-52); drift + serving economics (AT-57/59/70)."
UC-11,Search ranking & relevance,Ranking & personalization,"Orders results or supply to maximize a downstream outcome (web/site/e-commerce/marketplace search; the retrieval/ranking layer inside RAG).","optimizing clicks not outcomes; relevance vs coverage/long-tail supply; stale index; query-intent misread; ranking change that cuts liquidity without an A/B catching it","recall@k/NDCG (offline); search-to-fill or answer-success (online); time-to-result; per-query-type performance; A/B outcome lift with guardrails","Glean (enterprise ranking); marketplaces (search-to-fill); TIGER/PLUM generative retrieval","T-011;T-037;T-038;T-069;T-079;AT-14;AT-22;AT-23;AT-29;AT-52;AT-55;AT-57;EVL-13;O-MKT-003;O-MKT-011","Bridges RAG retrieval (AT-22/23 recall@k) and online-experiment ranking (T-037/038/069/079; AT-52); slice by query type (AT-14); the marketplace matching overlays (O-MKT-003 match-rate; O-MKT-011 tune ranking to fill rate) are the consumer/two-sided analog."
UC-12,Legal vertical copilot,Vertical copilots,"AI for legal research; drafting; contract review/redlining; document Q&A; chronology over legal corpora.","citation hallucination (sanctionable); retrieving tangential law -> wrong rule; refusals/incomplete answers; overconfidence in a high-stakes domain; corpus coverage gaps","hallucination rate (and conditional-on-responding); accuracy vs expert baseline; citation correctness/groundedness; responsiveness vs refusal; task-specific accuracy","Harvey; Thomson Reuters CoCounsel; LexisNexis Lexis+ AI; vLex Vincent; (Stanford RegLab; Vals VLAIR)","T-046;T-054;T-088;AT-09;AT-11;AT-12;AT-22;AT-23;AT-56;AT-63;AT-68;AT-72;AT-82;AT-83;AT-86;EVL-08;EVL-11;O-B2B-001;O-B2B-002;O-FIN-013","Citation groundedness is the cardinal metric (AT-56; AT-22/23 legal retrieval); judge calibrated against lawyers (AT-11/12); adversarial bar-exam-style sets (EVL-11); red-team + pre-release accuracy/safety gate (AT-63/68); trust narrative + 'why is it wrong' (AT-82/83); firm buyers add security-questionnaire overlays (O-B2B-001/002)."
UC-13,Clinical documentation / health copilot,Vertical copilots,"Ambient AI that listens to a visit and drafts the note for clinician review; plus clinical summarization.","hallucinated OR omitted clinical facts; side-conversation/noise capture; accent/specialty/acoustic degradation; over-homogenized notes; PHI handling; over-reliance","note accuracy incl. omissions vs clinician edits; edit/acceptance rate; time-saved + after-hours-EHR-time; burnout/well-being; specialty-sliced accuracy; PHI-safety","Abridge; Nuance DAX Copilot; Ambience; Suki; Nabla; AWS HealthScribe","T-046;T-048;T-054;T-055;T-088;T-117;AT-09;AT-11;AT-12;AT-14;AT-56;AT-60;AT-66;AT-67;AT-72;AT-84;AT-85","Groundedness incl. omission detection is the safety-critical eval (AT-56); judge calibrated to clinicians (AT-11/12) + specialty slices (AT-14); clinician sign-off is human-in-loop by construction (T-054/055); clinician edits feed the flywheel (AT-60); PHI privacy + consent (AT-72/85; T-048); adoption read as burnout/acceptance (AT-84). No O-HLTH overlay exists yet (flagged)."
UC-14,Fraud & AML detection (fintech),Vertical copilots,"Scores transactions and onboarding for fraud and financial crime (AML) in real time; ML core + LLM-assisted investigation.","false negatives (regulatory/loss); false-positive overload; drift as tactics evolve; lagging fraud labels; unexplainable alerts failing audit; typology coverage","precision/recall (TPR vs FPR); alert volume vs review capacity; fraud-loss vs approval-rate trade-off; detection latency; drift; explainability/audit-readiness","Feedzai (Jack Henry Defender); Hawk AI; FICO Falcon; NICE Actimize","T-031;T-033;T-070;T-071;AT-09;AT-14;AT-16;AT-55;AT-57;EVL-05;O-FIN-001;O-FIN-002;O-FIN-004;O-FIN-005;O-FIN-006;O-FIN-011;O-FIN-014","Most overlay-heavy use case: O-FIN-* is its native taxonomy (thresholds O-FIN-014; SAR O-FIN-004; fraud-vs-approval guardrail O-FIN-005; KYC O-FIN-001/011; audit trail O-FIN-006); precision/recall + drift (AT-14/57; T-033 guardrail; T-070/071 alerts); LLM-assist investigation maps to AT-08/11/56."
UC-15,Trust & safety / guardrail layer (cross-cutting),Cross-cutting,"The policy/guardrail surface every other use case ships: define-what-it-must-never-do; filters; jailbreak + prompt-injection defense; PII; refusal calibration.","jailbreak/prompt injection; over-refusal (blocks valid use); under-refusal (allows harm); PII leakage; missing sanity checks on irreversible/financial actions; silent safety regressions","jailbreak/abuse-resistance vs versioned corpus; refusal vs over-refusal on paired benign/harmful sets; PII-leak rate; prompt-injection resistance; time-to-contain","Chevrolet dealership (failure); Air Canada/Cursor (failure); Llama Guard/NeMo/Lakera class","T-033;T-048;T-060;T-067;AT-17;AT-63;AT-64;AT-65;AT-66;AT-67;AT-68;AT-72;AT-85;EVL-11;O-FIN-010;O-MKT-008","Safety is a measurable; regressable; gated property: red-team + jailbreak corpus (AT-63/64); guardrail policy + refusal calibration (AT-65/66); incident triage + incident-to-regression (AT-67/17); pre-release safety gate (AT-68); adversarial sets (EVL-11); privacy/consent + regulated disclosure screens (AT-72/85; O-FIN-010); marketplace T&S gate (O-MKT-008)."
